,Name,Rating,Review Count,Price,Address
71,Vietnam Kitchen,4.5,602,$$,"5339 Mitscher Ave, Louisville, KY 40214"
72,Morning Fork,4.5,204,$$,"1722 Frankfort Ave, Louisville, KY 40206"
73,Brendon's Catch 23,4.0,392,$$$,"505 S 4th St, Louisville, KY 40202"
74,80/20 @ Kaelin's,3.5,316,$$,"1801 Newburg Rd, Louisville, KY 40205"
75,Harry's Taphouse & Kitchen,4.5,115,$$,"130 W Riverside Dr, Jeffersonville, IN 47130"
76,La Terraza,4.5,26,$$,"654 S 4th St, Louisville, KY 40202"
77,King Buffet,3.0,21,,"3020 Bardstown Rd, Louisville, KY 40205"
78,Royals Hot Chicken,4.5,949,$$,"736 E Market St, Louisville, KY 40202"
79,Good Belly Sandwich Shop,4.5,15,,"2216 Dundee Rd, Louisville, KY 40205"
80,Mirage Mediterranean Restaurant,4.5,307,$$,"4100 Preston Hwy, Louisville, KY 40213"
81,Union Restaurant & GameYard,4.0,149,$$,"115 W Chestnut St, Jeffersonville, IN 47130"
82,The Goose Eatery & Hangout,5.0,4,,"812 Lyndon Ln, Unit 105, Lyndon, KY 40222"
83,Guacamole Modern Mexican,4.5,211,,"900 E Market St, Louisville, KY 40206"
84,OhChae Korean Fusion Cuisine,5.0,5,,"216 Pearl St, New Albany, IN 47150"
85,La Chasse,4.5,157,$$$,"1359 Bardstown Rd, Louisville, KY 40204"
86,The GRÜV Sports Bar & Lounge,4.0,46,,"434 W Market St, Louisville, KY 40202"
87,The Manhattan Project,4.0,201,$$,"2101 Frankfort Ave, Louisville, KY 40206"
88,Doc's Bourbon Room,4.5,52,$$,"129 W Main St, Louisville, KY 40202"
89,Thai Noodles,4.5,229,$,"5800 Preston Hwy, Louisville, KY 40219"
90,The Silver Dollar,4.0,838,$$,"1761 Frankfort Ave, Louisville, KY 40206"
91,Garage Bar,4.0,658,$$,"700 E Market St, Louisville, KY 40202"
92,Zanzabar,4.5,211,$$,"2100 S Preston St, Louisville, KY 40217"
93,Gralehaus,4.5,437,$$,"1001 Baxter Ave, Louisville, KY 40204"
94,River House,4.0,587,$$$,"3015 River Rd, Louisville, KY 40207"
95,Str8 Drop,5.0,4,,"304 W Woodlawn Ave, Louisville, KY 40214"
96,Maya Bagel Express,4.5,70,$,"3029 Poplar Level Rd, Louisville, KY 40217"
97,Craft House Pizza - Preston Hwy,3.5,26,,"4041 Preston Hwy, Louisville, KY 40213"
98,Neighborhood Services,3.5,127,$$,"400 S 2nd St, Louisville, KY 40202"
99,Come Back Inn,4.0,254,$$,"909 Swan St, Louisville, KY 40204"
100,Agave & Rye - Louisville,4.0,482,$$,"426 Baxter Ave, Louisville, KY 40204"
101,Buck's Restaurant & Bar,4.5,240,$$$,"425 W Ormsby Ave, Louisville, KY 40203"
102,Hillcrest Tavern,4.5,109,$$,"3212 Frankfort Ave, Louisville, KY 40206"
103,Parlour - Downtown Louisville,4.0,71,$$,"133 West Liberty St, Louisville, KY 40202"
104,Smor Nordic Bakeri,5.0,24,,"1001 Trevilian Way, Louisville, KY 40213"
105,Southern Restaurant & Lounge,3.5,5,,"301 W Market St, Louisville, KY 40202"
106,Jeff Ruby's Steakhouse - Louisville,4.5,547,$$$$,"325 W Main St, Louisville, KY 40202"
107,Tim Tam,4.5,40,$,"1022 Clarks Ln, Louisville, KY 40217"
108,Happy Belly Bistro,4.5,30,,"1020 E Washington St, Louisville, KY 40204"
109,Senora Arepa,4.5,109,$$,"721 E Market St, Louisville, KY 40202"
